sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
150,36,ADANIENT,ADANIENT-I,ADANIENT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
151,212,RCOM,RCOM-I,RCOM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
152,173,HEROMOTOCO,HEROMOTOCO-I,HEROMOTOCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
153,-1,,NTPC,NTPC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
154,-1,,M&MFIN,M&MFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
155,114,BHARTIARTL,BHARTIARTL-I,BHARTIARTL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
156,-1,,TATAPOWER,TATAPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
157,187,ACC,ACC-I,ACC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
158,108,DIVISLAB,DIVISLAB-I,DIVISLAB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
159,-1,,CENTURYTEX,CENTURYTEX,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
160,275,M&M,M&M-I,M&M FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
161,67,TCS,TCS-I,TCS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
162,175,RELCAPITAL,RELCAPITAL-I,RELCAPITAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
163,-1,,NIFTY-I,NIFTY50 FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
164,-1,,TORNTPOWER,TORNTPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
165,309,TATASTEEL,TATASTEEL-I,TATASTEEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
166,-1,,PTC,PTC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
167,290,COLPAL,COLPAL-I,COLPAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
168,-1,,CAIRN,CAIRN,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
169,217,ICIL,ICIL-I,ICIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
170,133,BAJFINANCE,BAJFINANCE-I,BAJFINANCE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
171,8,MCDOWELL-N,MCDOWELL-N-I,MCDOWELL-N FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
172,-1,,GODREJIND,GODREJIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
173,-1,,HEROMOTOCO,HEROMOTOCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
174,-1,,ICICIBANK,ICICIBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
175,-1,,RELCAPITAL,RELCAPITAL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
176,270,KTKBANK,KTKBANK-I,KTKBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
177,153,NTPC,NTPC-I,NTPC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
178,248,CUMMINSIND,CUMMINSIND-I,CUMMINSIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
179,-1,,GAIL,GAIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
180,164,TORNTPOWER,TORNTPOWER-I,TORNTPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
181,330,KOTAKBANK,KOTAKBANK-I,KOTAKBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
182,307,BHEL,BHEL-I,BHEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
183,-1,,LUPIN,LUPIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
184,131,ANDHRABANK,ANDHRABANK-I,ANDHRABANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
185,-1,,AJANTPHARM,AJANTPHARM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
186,-1,,IBREALEST,IBREALEST,0,0,0,1,0.01,1.48E+18,1.51E+18,1.51E+18,NSE,NSE,INR,,,,,
187,-1,,ACC,ACC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
188,272,GMRINFRA,GMRINFRA-I,GMRINFRA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
189,322,IRB,IRB-I,IRB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
190,281,HINDZINC,HINDZINC-I,HINDZINC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
191,-1,,IGL,IGL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
192,-1,,NCC,NCC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
193,231,BIOCON,BIOCON-I,BIOCON FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
194,-1,,DHFL,DHFL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
195,-1,,YESBANK,YESBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
196,269,LICHSGFIN,LICHSGFIN-I,LICHSGFIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
197,-1,,NHPC,NHPC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
198,338,ADANIPORTS,ADANIPORTS-I,ADANIPORTS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
199,135,NMDC,NMDC-I,NMDC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
200,-1,,BHARATFIN,BHARATFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
201,237,CROMPGREAV,CROMPGREAV-I,CROMPGREAV FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
202,343,IFCI,IFCI-I,IFCI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
203,-1,,NIITTECH,NIITTECH,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
204,-1,,APOLLOHOSP,APOLLOHOSP,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
205,-1,,JPASSOCIAT,JPASSOCIAT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
206,-1,,WIPRO,WIPRO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
207,-1,,DRREDDY,DRREDDY,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
208,-1,,EXIDEIND,EXIDEIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
209,124,TATAGLOBAL,TATAGLOBAL-I,TATAGLOBAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
210,-1,,CADILAHC,CADILAHC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
211,-1,,GRASIM,GRASIM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
212,-1,,RCOM,RCOM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
213,1,HAVELLS,HAVELLS-I,HAVELLS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
214,101,PFC,PFC-I,PFC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
215,240,POWERGRID,POWERGRID-I,POWERGRID FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
216,345,HCLTECH,HCLTECH-I,HCLTECH FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
217,-1,,ICIL,ICIL,0,0,0,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
218,-1,,ZEEL,ZEEL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
219,37,BEML,BEML-I,BEML FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
220,-1,,IBULHSGFIN,IBULHSGFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
221,-1,,INDUSINDBK,INDUSINDBK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
222,299,AMARAJABAT,AMARAJABAT-I,AMARAJABAT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
223,-1,,VEDL,VEDL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
224,-1,,BAJAJ-AUTO,BAJAJ-AUTO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
225,-1,,ULTRACEMCO,ULTRACEMCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
226,332,JUSTDIAL,JUSTDIAL-I,JUSTDIAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
227,156,TATAPOWER,TATAPOWER-I,TATAPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
228,-1,,SAIL,SAIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
229,50,BANKBARODA,BANKBARODA-I,BANKBARODA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
230,-1,,TATACOMM,TATACOMM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
231,-1,,BIOCON,BIOCON,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
232,-1,,ARVIND,ARVIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
233,342,RELINFRA,RELINFRA-I,RELINFRA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
234,282,RELIANCE,RELIANCE-I,RELIANCE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
235,306,IDBI,IDBI-I,IDBI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
236,-1,,SBIN,SBIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
237,-1,,CROMPGREAV,CROMPGREAV,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
238,140,AXISBANK,AXISBANK-I,AXISBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
239,-1,,OIL,OIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
240,-1,,POWERGRID,POWERGRID,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
241,-1,,ORIENTBANK,ORIENTBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
242,-1,,GLENMARK,GLENMARK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
243,224,BAJAJ-AUTO,BAJAJ-AUTO-I,BAJAJ-AUTO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
244,324,L&TFH,L&TFH-I,L&TFH FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
245,225,ULTRACEMCO,ULTRACEMCO-I,ULTRACEMCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
246,130,JSWSTEEL,JSWSTEEL-I,JSWSTEEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
247,24,DABUR,DABUR-I,DABUR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
248,-1,,CUMMINSIND,CUMMINSIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
249,-1,,ENGINERSIN,ENGINERSIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
250,63,TORNTPHARM,TORNTPHARM-I,TORNTPHARM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
251,259,ASHOKLEY,ASHOKLEY-I,ASHOKLEY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
252,-1,,BANKNIFTY-I,NIFTYBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
253,-1,,AUROPHARMA,AUROPHARMA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
254,-1,,IOC,IOC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
255,-1,,IDFCBANK,IDFCBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
256,-1,,NIFTY-II,NIFTY50 SECOND FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
257,-1,,HINDALCO,HINDALCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
258,-1,,ALBK,ALBK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
259,-1,,ASHOKLEY,ASHOKLEY,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
260,18,MCLEODRUSS,MCLEODRUSS-I,MCLEODRUSS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
261,-1,,BHARATFORG,BHARATFORG,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
262,-1,,KPIT,KPIT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
263,34,EICHERMOT,EICHERMOT-I,EICHERMOT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
264,310,TECHM,TECHM-I,TECHM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
265,-1,,JSWENERGY,JSWENERGY,0,0,0,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
266,194,DHFL,DHFL-I,DHFL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
267,-1,,JETAIRWAYS,JETAIRWAYS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
268,239,OIL,OIL-I,OIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
269,-1,,LICHSGFIN,LICHSGFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
270,-1,,KTKBANK,KTKBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
271,-1,,ABIRLANUVO,ABIRLANUVO,0,0,0,1,0.01,1.48E+18,1.50E+18,1.50E+18,NSE,NSE,INR,,,,,
272,-1,,GMRINFRA,GMRINFRA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
273,90,MRF,MRF-I,MRF FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
274,-1,,NIFTY50,NIFTY50,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
275,-1,,M&M,M&M,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
276,179,GAIL,GAIL-I,GAIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
277,126,MINDTREE,MINDTREE-I,MINDTREE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
278,4,BPCL,BPCL-I,BPCL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
279,207,DRREDDY,DRREDDY-I,DRREDDY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
280,-1,,OFSS,OFSS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
281,-1,,HINDZINC,HINDZINC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
282,-1,,RELIANCE,RELIANCE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
283,-1,,HEXAWARE,HEXAWARE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
284,289,CASTROLIND,CASTROLIND-I,CASTROLIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
285,-1,,GRANULES,GRANULES,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
286,-1,,BOSCHLTD,BOSCHLTD,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
287,-1,,SUNPHARMA,SUNPHARMA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
288,-1,,INFY,INFY,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
289,-1,,CASTROLIND,CASTROLIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
290,-1,,COLPAL,COLPAL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
291,-1,,IDFC,IDFC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
292,78,HDIL,HDIL-I,HDIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
293,-1,,CONCOR,CONCOR,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
294,191,IGL,IGL-I,IGL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
295,113,SYNDIBANK,SYNDIBANK-I,SYNDIBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
296,159,CENTURYTEX,CENTURYTEX-I,CENTURYTEX FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
297,-1,,DCBBANK,DCBBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
298,206,WIPRO,WIPRO-I,WIPRO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
299,-1,,AMARAJABAT,AMARAJABAT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
300,-1,,HINDPETRO,HINDPETRO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
301,302,ASIANPAINT,ASIANPAINT-I,ASIANPAINT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
302,-1,,ASIANPAINT,ASIANPAINT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
303,288,INFY,INFY-I,INFY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
304,223,VEDL,VEDL-I,VEDL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
